#物品编号,类型,图标编号,名字,颜色,负重,装备类别,限制类型(装备限制条件:0:角色等级 4:元神等级;礼包限制条件：0:无限制 1:有无帮会 11-17:货币限制),等级限制,出售价格,转生等级限制,品质,职业,性别,装备组,装备对比,帮会捐献值,摧毁提示,装备内功,装备背景,回收金币,回收经验,回收组ID,是否可使用,能否销毁,能否存入仓库,能否推送,背包是否显示使用标志,限定次数用完之后是否显示推送,功能配置,功能参数,批量使用,使用后给的物品flag,使用后给的物品的值,物品描述,获取途径,光柱特效,装备子类型,防掉落概率(万分比),最大星级,属性值,基础属性百分百,最终属性百分比,随机最大攻击,随机最大防御,拾取类型,特效ID,等阶
#mTypeID,SubType,mIconID,mName,mColor,mWeight,mEquipType,mNeedType,mNeedParam,mPrice,mNeedZsLevel,mEquipLevel,mJob,mGender,mEquipGroup,mEquipComp,mEquipContribute,mShowDest,mAddPower,mItemBg,recycle_money,mRecycleExp,mRecycleId,mCanUse,mCanDestroy,mCanDepot,mCanPush,mBagShow,mTimesLimit,func_id,func_params,mCanMultiUse,mGiveFlag,mGiveValue,mDesp,mSource,mGZEffectID,mSubEquipType,mDropProtect,mMaxLevel,attr,baseattrprop,lastattrprop,randMDC,randMAC,mPickUpType,mEffectID,mRank
#int,int,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,int,string,string,int,int,int,int,string,string,string,int,int,int,int,int
#新装备,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11003011,1,11003001,鸿蒙·诛仙,0,0,1,0,100,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52006,0,0,9999,7;120;8;1020;13;10,0,0,0,0,0,0,0
12003011,1,10001416,裁决猎魔刃,0,0,1,0,100,0,0,5,0,0,0,1,0,0,0,5,0,0,6,0,1,1,1,0,0,0,0,0,0,0,null,首充奖励,52006,0,0,9999,2;1815000;7;25200;8;84000;13;500,0,0,0,0,0,0,0
10001001,1,10001401,初心〃剑,0,0,1,0,1,0,0,1,0,0,1001,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;12100;7;168;8;560;13;20,0,0,0,0,1001,0,1
10002001,1,10001401,龙象迷魄·剑,0,0,1,0,50,0,0,1,0,0,1002,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;24200;7;336;8;1120;13;40,0,0,0,0,1001,0,2
10003001,1,10001401,红莲天舞·剑,0,0,1,0,50,0,0,1,0,0,1003,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;36300;7;504;8;1680;13;60,0,0,0,0,1001,0,3
10004001,1,10001401,荒毒碟恋·剑,0,0,1,0,50,0,0,1,0,0,1004,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;48400;7;672;8;2240;13;80,0,0,0,0,1001,0,4
10005001,1,10001401,暗殇圣者·剑,0,0,1,0,50,0,0,1,0,0,1005,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;60500;7;840;8;2800;13;100,0,0,0,0,1001,0,5
10006001,1,10001401,剑影花馨·剑,0,0,1,0,100,0,0,2,0,0,1006,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;72600;7;1008;8;3360;13;120,0,0,0,0,1002,0,6
10007001,1,10001401,悟道永恒·剑,0,0,1,0,100,0,0,2,0,0,1007,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;84700;7;1176;8;3920;13;140,0,0,0,0,1002,0,7
10008001,1,10001401,无极永生·剑,0,0,1,0,100,0,0,2,0,0,1008,1,0,0,0,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,null,boss掉落,52003,0,0,9999,2;96800;7;1344;8;4480;13;160,0,0,0,0,1002,0,8
