#v100,,,
#晤瘍,裁邈郪ID,昜こID,
#int,int,int,
1,10001,100001001,#(1論)れ埭哱條
2,10001,100001002,#(1論)れ埭桵樅
3,10001,100001003,#(1論)れ埭芛錳
4,10001,100001004,#(1論)れ埭砐蟈
5,10001,100001005,#(1論)れ埭忒瀍
6,10001,100001006,#(1論)れ埭賭硌
7,10001,100001007,#(1論)れ埭悒赽
8,10001,100001008,#(1論)れ埭殈湍
9,10002,10002001,#2論挕ん
10,10002,10002002,#2論畟督
11,10002,10002003,#2論芛錳
12,10002,10002004,#2論砐蟈
13,10002,10002005,#2論忒瀍
14,10002,10002006,#2論賭硌
15,10002,10002007,#2論殈湍
16,10002,10002008,#2論衧赽
17,10003,10003001,#3論挕ん
18,10003,10003002,#3論畟督
19,10003,10003003,#3論芛錳
20,10003,10003004,#3論砐蟈
21,10003,10003005,#3論忒瀍
22,10003,10003006,#3論賭硌
23,10003,10003007,#3論殈湍
24,10003,10003008,#3論衧赽
25,10004,10004001,#4論挕ん
26,10004,10004002,#4論畟督
27,10004,10004003,#4論芛錳
28,10004,10004004,#4論砐蟈
29,10004,10004005,#4論忒瀍
30,10004,10004006,#4論賭硌
31,10004,10004007,#4論殈湍
32,10004,10004008,#4論衧赽
33,10005,10005001,#5論挕ん
34,10005,10005002,#5論畟督
35,10005,10005003,#5論芛錳
36,10005,10005004,#5論砐蟈
37,10005,10005005,#5論忒瀍
38,10005,10005006,#5論賭硌
39,10005,10005007,#5論殈湍
40,10005,10005008,#5論衧赽
41,10006,10006001,#6論挕ん
42,10006,10006002,#6論畟督
43,10006,10006003,#6論芛錳
44,10006,10006004,#6論砐蟈
45,10006,10006005,#6論忒瀍
46,10006,10006006,#6論賭硌
47,10006,10006007,#6論殈湍
48,10006,10006008,#6論衧赽
49,10007,10007001,#7論挕ん
50,10007,10007002,#7論畟督
51,10007,10007003,#7論芛錳
52,10007,10007004,#7論砐蟈
53,10007,10007005,#7論忒瀍
54,10007,10007006,#7論賭硌
55,10007,10007007,#7論殈湍
56,10007,10007008,#7論衧赽
57,10008,10008001,#8論挕ん
58,10008,10008002,#8論畟督
59,10008,10008003,#8論芛錳
60,10008,10008004,#8論砐蟈
61,10008,10008005,#8論忒瀍
62,10008,10008006,#8論賭硌
63,10008,10008007,#8論殈湍
64,10008,10008008,#8論衧赽
65,10009,10009001,#9論挕ん
66,10009,10009002,#9論畟督
67,10009,10009003,#9論芛錳
68,10009,10009004,#9論砐蟈
69,10009,10009005,#9論忒瀍
70,10009,10009006,#9論賭硌
71,10009,10009007,#9論殈湍
72,10009,10009008,#9論衧赽
73,10010,10010001,#10論挕ん
74,10010,10010002,#10論畟督
75,10010,10010003,#10論芛錳
76,10010,10010004,#10論砐蟈
77,10010,10010005,#10論忒瀍
78,10010,10010006,#10論賭硌
79,10010,10010007,#10論殈湍
80,10010,10010008,#10論衧赽
81,10011,10011001,#11論挕ん
82,10011,10011002,#11論畟督
83,10011,10011003,#11論芛錳
84,10011,10011004,#11論砐蟈
85,10011,10011005,#11論忒瀍
86,10011,10011006,#11論賭硌
87,10011,10011007,#11論殈湍
