#怪物ID,资源编号,触发脚本,攻击AI,显示名,技能类型,技能资源,目标特效,等级,目标特效,视野范围,获得经验,获得内功,血量,魔量,最小物防,最大物防,最小法防,最大法防,最小物攻,最大物攻,最小法攻,最大法攻,闪避,命中,移动最小时间间隔（无效）,移动最大时间间隔,移动距离,攻击间隔时间,头像,喊话间隔,子类型,掉落组ID,巡逻范围,追击范围,是否可以被撞,切换目标ai类型,切换目标间隔,伤害系数,距离仇仇恨系数,编辑器目录,类型,怪物组别,传送点id,默认AI,巡逻速度,尸体消失时间,刷新时间,方向固定,暴击率,抗暴击,物理攻击减免,魔法减免,回血速度,是否显示刷新公告,是否显示掉落公告,BOSS积分,功能ID,属性(id;val;id;val.../没有填0),默认对话,是否会喊话,随机喊话,简单掉落ID,武器形象,翅膀形象,称号形象,采集时间,是否显示怪物归属,死亡是否显示墓碑,禁止变形,内观缩放,内观X,内观Y
#id,model,script,AI,name,effect_type,effect_res,target_effect,lev,zslevel,sight,exp,inside_power_exp,MHP,mp,MinDEF,MaxDEF,MinMDEF,MaxMDEF,MinATK,MaxATK,MinMATK,MaxMATK,DODGE,HIT,minStayTime,maxStayTime,moveTime,interval,head_icon,talkgap,subType,dropID,patrol,maxmove,canPush,switch_target_type,switch_target_interval,hatred_damage_ratio,hatred_distance_ratio,editdir,type,monGroup,teleportID,defaultAI,patrolTime,deadTime,refreshTime,dirFixed,CRIRate,DUCrate,ADTR,MR,HPup,isShowRefresh,isS,bossIntegral,funcid,attr,dialog,canSpeak,randomDialog,simpleDropID,weapon,wing,title,collectTime,noShowOwner,showTomb,forbidShape,showScale,showX,showY
#int,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,string,int,int,bool,int,int,int,int,string,int,int,int,string,int,int,int,int,int,int,int,int,int,bool,bool,int,string,string,string,bool,string[],int,int,int,int,int,bool,bool,int,int,int,int
#新手怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100001001,30001,default,50001,鸡,0,0,0,1,0,4,0,0,9180,0,85,340,85,340,31,125,31,125,15,17,0,0,1,1000,0,0,0,0,3,8,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100001002,30002,default,50001,鹿,0,0,0,1,0,4,0,0,9830,0,85,341,85,341,31,125,31,125,15,17,0,0,1,1000,0,0,0,0,3,8,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100001003,30003,default,50001,稻草人,0,0,0,1,0,4,0,0,10863,0,89,355,89,355,33,130,33,130,15,17,0,0,1,1000,0,0,0,0,3,8,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100001004,30004,default,50001,钉耙猫,0,0,0,1,0,4,0,0,12355,0,95,381,95,381,35,140,35,140,15,17,0,0,1,1000,0,0,0,0,3,8,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100001005,30005,default,50001,半兽人,0,0,0,1,0,4,0,0,14364,0,105,420,105,420,39,154,39,154,15,17,0,0,1,1000,0,0,0,0,3,8,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
#普通怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100002001,30101,default,50001,骷髅战士,0,0,0,100,0,5,0,0,18225,0,169,675,169,675,72,288,72,288,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002002,30102,default,50001,骷髅刽子手,0,0,0,100,0,5,0,0,23968,0,200,798,200,798,86,344,86,344,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002003,30103,default,50001,骷髅收割者,0,0,0,100,0,5,0,0,30879,0,233,933,233,933,102,407,102,407,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002004,30104,default,50001,电僵尸,0,0,0,100,0,5,0,0,39074,0,270,1080,270,1080,119,477,119,477,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002005,30105,default,50001,骷髅手斧手,0,0,0,100,0,5,0,0,48658,0,310,1240,310,1240,139,554,139,554,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002006,30106,default,50001,变异蜈蚣,0,0,0,200,0,5,0,0,70853,0,419,1675,419,1675,190,758,190,758,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002007,30107,default,50001,巨型蠕虫,0,0,0,200,0,5,0,0,89586,0,494,1975,494,1975,226,905,226,905,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002008,30108,default,50001,巨型蚶虫,0,0,0,300,0,5,0,0,110753,0,572,2288,572,2288,266,1062,266,1062,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002009,30109,default,50001,异形蚶虫,0,0,0,300,0,5,0,0,134483,0,653,2613,653,2613,307,1228,307,1228,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002010,30110,default,50001,粪虫,0,0,0,400,0,5,0,0,160893,0,738,2950,738,2950,351,1405,351,1405,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002011,30111,default,50001,火焰沃玛,0,0,0,400,0,5,0,0,190080,0,825,3300,825,3300,398,1592,398,1592,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002012,30112,default,50001,红皮野猪,0,0,0,500,0,5,0,0,235806,0,972,3888,972,3888,475,1901,475,1901,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002013,30113,default,50001,黑皮野猪,0,0,0,500,0,5,0,0,322572,0,1266,5063,1266,5063,627,2508,627,2508,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002014,30114,default,50001,蝎蛇,0,0,0,600,0,5,0,0,429885,0,1610,6438,1610,6438,808,3233,808,3233,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002015,30115,default,50001,花吻蜘蛛,0,0,0,600,0,5,0,0,559581,0,2003,8013,2003,8013,1020,4080,1020,4080,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002016,30116,default,50001,钢鳄蜘蛛,0,0,0,700,0,5,0,0,713497,0,2447,9788,2447,9788,1264,5055,1264,5055,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002017,30117,default,50001,血巨人,0,0,0,700,0,5,0,0,930510,0,3063,12250,3063,12250,1604,6417,1604,6417,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002018,30118,default,50001,牛头魔,0,0,0,800,0,5,0,0,1060844,0,3356,13425,3356,13425,1784,7134,1784,7134,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002019,30119,default,50001,牛头勇士,0,0,0,800,0,5,0,0,1159380,0,3531,14125,3531,14125,1904,7616,1904,7616,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002020,30120,default,50001,牛头战士,0,0,0,900,0,5,0,0,1264329,0,3713,14850,3713,14850,2032,8127,2032,8127,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002021,30121,default,50001,牛头将军,0,0,0,900,0,5,0,0,1431045,0,4056,16225,4056,16225,2254,9014,2254,9014,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002022,30122,default,50001,牛头法师,0,0,0,1000,0,5,0,0,1615302,0,4425,17700,4425,17700,2496,9985,2496,9985,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002023,30123,default,50001,牛头祭祀,0,0,0,1000,0,5,0,0,1818018,0,4819,19275,4819,19275,2761,11043,2761,11043,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002024,30124,default,50001,蜥蜴人观察者,0,0,0,1100,0,5,0,0,1752840,0,4500,18000,4500,18000,2619,10476,2619,10476,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002025,30125,default,50001,海底人先锋,0,0,0,1100,0,5,0,0,1966113,0,4894,19575,4894,19575,2894,11577,2894,11577,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002026,30126,default,50001,海底人潜伏者,0,0,0,1200,0,5,0,0,2119163,0,5119,20475,5119,20475,3077,12307,3077,12307,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
100002027,30127,default,50001,巨型鹰隼,0,0,0,1200,0,5,0,0,2295000,0,5313,21250,5313,21250,3247,12986,3247,12986,15,17,0,0,1,1000,0,0,4001,0,3,10,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
#精英怪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100003001,30201,default,50001,骷髅精灵,0,0,0,200,0,6,0,0,96246,0,446,1783,446,1783,230,921,230,921,15,17,0,0,1,1000,0,0,4002,0,3,12,1,0,0,0,0,新手海岛,4,0,0,default,40000,1000,10000,0,0,0,0,0,0,0,0,0,0,0,default,0,default,0,0,0,0,0,0,0,1,100,0,0
